Id,SalePrice
1461,122163.12323919912
1462,158009.0057743699
1463,182585.33885130857
1464,186191.28803476796
1465,197170.531563109
1466,178999.64226814843
1467,166800.4206517372
1468,165389.21523214784
1469,175171.727674167
1470,126158.37825648027
1471,202150.16809501735
1472,96206.28822531713
1473,99385.74205381158
1474,157149.0912876151
1475,134949.24634138923
1476,382845.7251756386
1477,248027.3342760578
1478,295929.03670268995
1479,284758.8821205631
1480,503857.874690383
1481,326033.56815724424
1482,218288.7199958032
1483,170650.1280437627
1484,174343.5479709445
1485,171399.23920318324
1486,196060.41394758096
1487,355014.59846281644
1488,232592.0711232256
1489,204532.05360088646
1490,239459.93942238082
1491,189671.53408371162
1492,93870.92393411348
1493,179807.02955055004
1494,293600.58742117154
1495,296331.4467701647
1496,240172.3213771355
1497,179607.9589969378
1498,168862.0975764436
1499,164338.89123869626
1500,148305.58230783953
1501,170151.5240786481
1502,157054.56773593373
1503,297128.84984320705
1504,235255.71339475975
1505,227745.07201117452
1506,185160.97513464285
1507,223803.94202285094
1508,198635.55521717566
1509,161867.03825207867
1510,150232.21818335293
1511,138689.93177785774
1512,169774.5581012156
1513,140031.18615885847
1514,163235.7182573042
1515,170416.36541729607
1516,153803.3593383622
1517,159861.09763075193
1518,141628.03042639294
1519,219860.3288482976
1520,134067.27154363613
1521,134975.52778256967
1522,164730.26843688264
1523,110342.11438148744
1524,125894.60198813166
1525,120012.08483433978
1526,111431.43214769656
1527,112840.63560609835
1528,131721.36354105745
1529,144057.69081002972
1530,179978.76411741183
1531,102145.72549218936
1532,104647.0676682984
1533,139974.70614915996
1534,116453.46192708235
1535,146416.90146118004
1536,110104.50191383192
1537,59374.76119314284
1538,168641.21898919396
1539,241518.92535777172
1540,92527.05523224067
1541,140700.15568846063
1542,141727.1068114628
1543,213681.92777260978
1544,77362.82771744904
1545,100045.89668237847
1546,128755.97908642009
1547,147034.59529315523
1548,142889.86734983855
1549,113212.2992285567
1550,144645.00864253915
1551,122663.50737706554
1552,122035.30245506951
1553,162719.2123844694
1554,113850.58194806329
1555,173949.18052497317
1556,94444.63614962109
1557,119690.92945763057
1558,92937.54225330091
1559,88932.95911365739
1560,141231.99613803
1561,125445.4811872678
1562,123594.89740077956
1563,118943.57630957683
1564,168676.0417253519
1565,144094.4325344383
1566,220193.52121021994
1567,71212.13421080883
1568,219992.11483517906
1569,133420.37923845107
1570,141859.0091763332
1571,124175.16859445536
1572,148390.16375307835
1573,216104.5277497704
1574,110152.05739044088
1575,214643.89190588938
1576,217807.82116005928
1577,196645.84645845665
1578,161112.41534403313
1579,158051.3129169893
1580,193728.29387996087
1581,155675.30882111788
1582,139261.6200877646
1583,333539.69906682655
1584,237135.55877921294
1585,141118.72455901944
1586,76150.85234541363
1587,85320.41997283068
1588,137991.88450054624
1589,88977.12400607833
1590,133350.27879242634
1591,88699.7033913756
1592,119021.20307855622
1593,129093.84242844132
1594,143357.3862977968
1595,114965.61615941071
1596,239627.10297640171
1597,202852.20176588875
1598,191603.53341886733
1599,198438.31844641693
1600,187321.92535174603
1601,71271.07362108327
1602,112864.6321303377
